profile_filename,helmet_positioning,num_epochs,classifier,computing_time,epoch_duration,epoch_size,num_filters,test_size,accuracy,targets,non_targets,TP,FP,TN,FN,(TP/(TP+FP),TN/(TN+FN),TP/(TP+FN),TN/(TN+FP)
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.313091039658,0.6,76,1,0.2,0.631578947368,5,14,4,6,8,1,40,88,80,57
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.291221141815,0.6,76,2,0.2,0.736842105263,5,14,3,3,11,2,50,84,60,78
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.286627054214,0.6,76,3,0.2,0.736842105263,5,14,2,2,12,3,50,80,40,85
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.248694181442,0.6,76,4,0.2,0.684210526316,5,14,1,2,12,4,33,75,20,85
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.225331068039,0.6,76,1,0.3,0.535714285714,6,22,2,9,13,4,18,76,33,59
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.277197122574,0.6,76,2,0.3,0.785714285714,6,22,4,4,18,2,50,90,66,81
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.266073942184,0.6,76,3,0.3,0.714285714286,6,22,2,4,18,4,33,81,33,81
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.279561042786,0.6,76,4,0.3,0.75,6,22,2,3,19,4,40,82,33,86
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.400088071823,0.7,89,1,0.2,0.578947368421,5,14,4,7,7,1,36,87,80,50
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.432005882263,0.7,89,2,0.2,0.631578947368,5,14,0,2,12,5,0,70,0,85
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.415641069412,0.7,89,3,0.2,0.736842105263,5,14,1,1,13,4,50,76,20,92
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.384231090546,0.7,89,4,0.2,0.684210526316,5,14,1,2,12,4,33,75,20,85
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.346122026443,0.7,89,1,0.3,0.428571428571,7,21,0,9,12,7,0,63,0,57
